16309;# doc = multiki_i_gorki.2.txt;;;;;;;;;;;;;;;;
16310;# speaker = А;;;;;;;;;;;;;;;;
16311;# sent = 1191;;;;;;;;;;;;;;;;
16312;"<distinct form=""";;;;;;;;;;;;;;;;
16313;<dist>;чё;;;;;;;;;;;;;;;
16314;""">";;;;;;;;;;;;;;;;
16315;;Что;ЧТО;SPRO n inan nom sg;;; чё  _Что_  какая твоя;о;т;ч;;;;SPRO;ЧТО;S n - acc sg;О
16316;</distinct>;;;;;;;;;;;;;;;;
16317;;какая;КАКОЙ;APRO - nom sg plen f -;;; Что  _какая_ твоя любимая Феечка;я;а;к;а;к;;APRO;КАКОЙ;A - nom sg plen f -;Й
16318;;твоя;ТВОЙ;APRO - nom sg plen f -;;;Что  какая _твоя_ любимая Феечка Винкс;я;о;в;т;;;APRO;ТВОЙ;A - nom sg plen f -;Й
16319;;любимая;ЛЮБИМЫЙ;A - nom sg plen f -;;; какая твоя _любимая_ Феечка Винкс была;я;а;м;и;б;ю;A;ЛЮБИМЫЙ;A - nom sg plen f -;Й
16320;;Феечка;ФЕЕЧКА;S f anim nom sg;;;какая твоя любимая _Феечка_ Винкс была ?;а;к;ч;е;е;ф;S;ФЕЕЧКА;S f anim nom sg;А
16321;;Винкс;ВИНКС;S f inan nom sg;new;;твоя любимая Феечка _Винкс_ была ? ;с;к;н;и;в;;S;ВИНКС;S f inan nonflex -;С
16322;;была;БЫТЬ;V ipf praet sg indic f -;;;любимая Феечка Винкс _была_ ?  ;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -;Ь
16323;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
16324;;;;;;;;;;;;;;;;;
16325;# sent = 1192;;;;;;;;;;;;;;;;
16326;# speaker = М;;;;;;;;;;;;;;;;
16327;# sent = 1193;;;;;;;;;;;;;;;;
16328;;Я;Я;SPRO sg 1p - nom;;;   _Я_ думаю , что;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
16329;;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;  Я _думаю_ , что Флора;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p;Ь
16330;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
16331;;что;ЧТО;CONJ;;;Я думаю , _что_ Флора . ;о;т;ч;;;;CONJ;ЧТО;CONJ;О
16332;;Флора;ФЛОРА;S f anim nom sg persn;;;думаю , что _Флора_ .  ;а;р;о;л;ф;;S;ФЛОРА;S f inan nom sg;А
